freq	dB(S(1,2))
2.40800000000000036E9	-4.13208000000000020E1
2.41000000000000014E9	-4.13208000000000020E1
2.41199999999999992E9	-4.13208000000000020E1
2.41400000000000015E9	-4.13208000000000020E1
2.41599999999999993E9	-4.13208000000000020E1
2.41800000000000015E9	-4.13208000000000020E1
2.41999999999999993E9	-4.13208000000000020E1
2.42199999999999971E9	-4.13208000000000020E1
2.42400000000000038E9	-4.13208000000000020E1
2.42599999999999971E9	-4.13208000000000020E1
2.42799999999999994E9	-4.13208000000000020E1
2.43000000000000016E9	-4.13208000000000020E1
2.43199999999999994E9	-4.13208000000000020E1
2.43400000000000016E9	-4.13208000000000020E1
2.43599999999999994E9	-4.13208000000000020E1
2.43800000000000017E9	-4.13208000000000020E1
2.43999999999999995E9	-4.13208000000000020E1
2.44199999999999973E9	-4.13208000000000020E1
2.44399999999999995E9	-4.13208000000000020E1
2.44600000000000017E9	-4.13208000000000020E1
2.44799999999999995E9	-4.13208000000000020E1
2.45000000000000018E9	-4.13208000000000020E1
2.45199999999999996E9	-4.13208000000000020E1
2.45399999999999974E9	-4.13208000000000020E1
2.45599999999999996E9	-4.13208000000000020E1
2.45800000000000018E9	-4.13208000000000020E1
2.45999999999999996E9	-4.13208000000000020E1
2.46199999999999974E9	-4.13208000000000020E1
2.46399999999999997E9	-4.13208000000000020E1
2.46600000000000019E9	-4.13208000000000020E1
2.46799999999999997E9	-4.13208000000000020E1
2.46999999999999975E9	-4.13208000000000020E1
2.47199999999999998E9	-4.13208000000000020E1
2.47400000000000020E9	-4.13208000000000020E1
2.47599999999999998E9	-4.13208000000000020E1
2.47800000000000020E9	-4.13208000000000020E1
2.47999999999999998E9	-4.13208000000000020E1
2.48200000000000021E9	-4.13208000000000020E1
2.48399999999999999E9	-4.13208000000000020E1
2.48599999999999977E9	-4.13208000000000020E1
2.48800000000000043E9	-4.13208000000000020E1
2.48999999999999977E9	-4.13208000000000020E1
2.49199999999999999E9	-4.13208000000000020E1
2.49400000000000022E9	-4.13208000000000020E1
2.49600000000000000E9	-4.13208000000000020E1
2.49800000000000022E9	-4.13208000000000020E1
2.50000000000000000E9	-4.13208000000000020E1
2.50199999999999978E9	-4.10266999999999982E1
2.50400000000000000E9	-4.09474999999999945E1
2.50599999999999978E9	-4.07953000000000010E1
2.50800000000000001E9	-4.06813999999999965E1
2.51000000000000023E9	-4.09398616567612983E1
2.51199999999999957E9	-4.07721082370574450E1
2.51400000000000023E9	-4.09540630884377599E1
2.51600000000000001E9	-4.06246912736539034E1
2.51799999999999979E9	-4.04423680977735156E1
2.52000000000000002E9	-4.02287855789807391E1
2.52199999999999980E9	-4.01049209099784854E1
2.52400000000000002E9	-3.99219828961039624E1
2.52599999999999980E9	-3.95555784017292122E1
2.52800000000000002E9	-3.95791792741826587E1
2.53000000000000025E9	-3.93131120594981898E1
2.53200000000000003E9	-3.94041836319861583E1
2.53399999999999981E9	-3.94005751016352823E1
2.53600000000000003E9	-3.91837796099146018E1
2.53800000000000026E9	-3.89850971038522776E1
2.54000000000000004E9	-3.90193728009000873E1
2.54199999999999982E9	-3.92254128036719418E1
2.54400000000000004E9	-3.95043649445783140E1
2.54600000000000026E9	-3.95869879511785561E1
2.54800000000000004E9	-3.98552161842446040E1
2.54999999999999982E9	-3.97778109994383167E1
2.55200000000000005E9	-3.95949651588945661E1
2.55399999999999983E9	-3.95926956102339611E1
2.55600000000000005E9	-3.97516521718362270E1
2.55800000000000027E9	-3.92896015682676225E1
2.56000000000000005E9	-3.91195205888922626E1
2.56199999999999983E9	-3.93347734905388347E1
2.56399999999999961E9	-3.88327179997078087E1
2.56600000000000028E9	-3.88336984566979160E1
2.56800000000000006E9	-3.85920922710508441E1
2.56999999999999984E9	-3.86579519648442638E1
2.57200000000000006E9	-3.85239922251078903E1
2.57399999999999984E9	-3.82486591176420987E1
2.57600000000000007E9	-3.79897045615439088E1
2.57800000000000029E9	-3.79941673370377586E1
2.58000000000000007E9	-3.77947818946172598E1
2.58199999999999985E9	-3.77029952969379067E1
2.58399999999999963E9	-3.73082486733433294E1
2.58600000000000030E9	-3.72806303003013273E1
2.58800000000000008E9	-3.71498882959275534E1
2.58999999999999986E9	-3.70658413475959003E1
2.59199999999999964E9	-3.67993199749265454E1
2.59399999999999986E9	-3.67697148496077730E1
2.59600000000000009E9	-3.65985291640602384E1
2.59799999999999986E9	-3.63979092813386496E1
2.60000000000000009E9	-3.63205046668931164E1
2.60199999999999987E9	-3.64689199251802787E1
2.60400000000000009E9	-3.64402199593789078E1
2.60600000000000032E9	-3.63415569002674621E1
2.60800000000000010E9	-3.62543024270121483E1
2.61000000000000032E9	-3.64491740724744195E1
2.61199999999999966E9	-3.64306094754450971E1
2.61399999999999988E9	-3.64154460139824110E1
